transaction_id,customer_id,customer_age,income_band,tenure_months,merchant_type,channel,region,hour,day_of_week,week,avg_prev_amount,daily_txn_count,days_since_last_txn,amount,amount_ratio,is_foreign,card_present,high_risk_merchant,night_txn,weekend,risk_score,loss_amount,fraud
41,100413,41,3,42,travel,pos,Thessaly,16,0,20,52.74,1,4.0,252.49,4.79,1,1,1,0,0,42.2,0.0,0
42,101895,29,2,93,grocery,mobile,Crete,21,3,47,48.94,4,2.0,21.57,0.44,0,0,0,0,0,23.26,0.0,0
43,101751,19,3,49,utility,online,Attica,14,5,9,37.61,2,3.0,68.75,1.83,0,0,0,0,1,26.19,0.0,0
44,100886,59,2,39,gaming,pos,Attica,0,0,28,55.84,3,14.0,142.64,2.55,0,1,1,1,0,37.77,0.0,0
45,100169,34,1,16,restaurant,mobile,Attica,2,1,46,48.81,5,12.0,32.98,0.68,0,0,0,1,0,27.85,0.0,0
46,102426,18,3,21,electronics,pos,Aegean,10,2,14,69.91,2,7.0,91.56,1.31,0,1,1,0,0,29.68,0.0,0
47,101114,51,1,30,electronics,pos,Attica,14,1,22,20.96,2,10.0,129.31,6.17,0,1,1,0,0,34.78,0.0,0
48,102232,36,2,100,grocery,pos,Aegean,19,3,37,40.58,2,10.0,12.04,0.3,0,1,0,0,0,22.58,0.0,0
49,101694,41,3,39,fuel,online,Attica,8,6,7,76.0,3,0.0,73.94,0.97,0,0,0,0,1,24.8,0.0,0
50,101945,43,4,69,travel,pos,Aegean,4,4,14,83.21,3,3.0,246.44,2.96,0,1,1,1,0,38.37,0.0,0
51,101899,53,1,34,electronics,mobile,Central_Macedonia,3,3,38,31.98,4,2.0,77.91,2.44,0,0,1,1,0,37.58,0.0,0
52,100486,45,3,11,restaurant,pos,Thessaly,14,6,5,48.14,3,1.0,129.12,2.68,0,1,0,0,1,27.12,0.0,0
53,100909,24,3,23,fashion,mobile,Crete,23,5,20,40.92,4,2.0,28.74,0.7,0,0,0,1,1,27.95,0.0,0
54,101166,27,4,38,fuel,pos,Thessaly,1,4,31,76.89,5,9.0,95.62,1.24,0,1,0,1,0,29.53,0.0,0
55,101244,24,3,43,grocery,pos,Thessaly,0,0,45,23.5,1,1.0,87.8,3.74,0,1,0,1,0,33.01,0.0,0
56,100109,35,1,60,grocery,pos,Attica,0,1,8,22.23,4,11.0,28.36,1.28,0,1,0,1,0,29.61,0.0,0
57,101366,46,4,20,grocery,pos,Aegean,13,6,28,45.35,6,0.0,94.5,2.08,0,1,0,0,1,26.5,0.0,0
58,100385,31,1,35,restaurant,pos,Crete,7,3,38,43.89,2,5.0,16.86,0.38,0,1,0,0,0,23.02,0.0,0
59,101858,33,2,36,fashion,mobile,Attica,19,6,21,78.69,4,0.0,12.2,0.16,1,0,0,0,1,25.31,0.0,0
60,101707,32,2,18,fashion,online,Attica,19,0,23,48.33,1,2.0,28.36,0.59,0,0,0,0,0,23.79,0.0,0
61,102306,34,2,19,restaurant,online,Central_Macedonia,12,1,24,23.99,1,1.0,31.59,1.32,0,0,0,0,0,25.45,0.0,0
62,101861,49,1,22,electronics,pos,Aegean,0,1,46,30.95,4,3.0,138.7,4.48,1,1,1,1,0,49.73,0.0,0
63,100916,38,1,35,grocery,mobile,Thessaly,13,0,32,22.36,2,10.0,38.68,1.73,0,0,0,0,0,26.07,0.0,0
64,102418,54,3,21,electronics,pos,Attica,8,2,22,43.45,4,8.0,88.62,2.04,0,1,1,0,0,31.02,0.0,0
65,101027,35,3,39,fuel,online,Crete,20,6,1,32.13,3,0.0,93.76,2.92,0,0,0,0,1,27.34,0.0,0
66,100814,41,2,61,fashion,online,Attica,17,0,21,34.46,2,5.0,24.78,0.72,0,0,0,0,0,24.18,0.0,0
67,102263,39,3,20,travel,pos,Attica,23,6,43,33.48,6,10.0,216.51,6.47,1,1,1,1,1,51.56,0.0,0
68,100926,45,4,82,fuel,pos,Thessaly,8,0,23,146.34,2,2.0,47.44,0.32,0,1,0,0,0,22.73,0.0,0
69,100190,48,1,35,fuel,mobile,Attica,7,0,21,40.74,4,1.0,27.9,0.68,0,0,0,0,0,24.09,0.0,0
70,101173,41,2,57,grocery,pos,Attica,11,0,38,27.45,2,0.0,19.45,0.71,0,1,0,0,0,24.15,0.0,0
71,101989,73,4,39,gaming,online,,19,5,51,57.14,3,10.0,64.32,1.13,0,0,1,0,1,29.24,0.0,0
72,100473,60,2,28,grocery,mobile,Attica,12,1,9,89.67,3,2.0,14.48,0.16,0,0,0,0,0,21.62,0.0,0
73,101157,35,2,24,grocery,pos,Attica,8,0,50,59.95,2,7.0,25.77,0.43,1,1,0,0,0,27.75,0.0,0
74,100324,57,1,32,grocery,pos,Attica,21,5,18,31.53,6,1.0,27.46,0.87,0,1,0,0,1,24.57,0.0,0
75,101716,56,4,30,fashion,pos,Central_Macedonia,9,4,31,45.24,2,7.0,49.65,1.1,0,1,0,0,0,25.05,0.0,0
76,101189,26,2,38,restaurant,online,Aegean,21,2,14,47.09,2,0.0,18.94,0.4,0,0,0,0,0,23.1,0.0,0
77,100825,18,3,18,restaurant,pos,Attica,15,5,2,38.45,6,2.0,21.37,0.56,0,1,0,0,1,23.69,0.0,0
78,100567,44,3,14,electronics,pos,Aegean,1,6,21,81.91,4,5.0,412.01,5.03,0,1,1,1,1,40.59,0.0,0
79,101411,40,2,23,grocery,pos,Crete,11,3,46,127.8,2,2.0,11.76,0.09,0,1,0,0,0,20.84,0.0,0
80,101674,18,3,38,fashion,mobile,Attica,16,6,48,53.0,4,7.0,15.65,0.3,0,0,0,0,1,22.57,0.0,0
81,102350,43,2,19,grocery,mobile,Attica,21,2,20,42.64,4,0.0,16.23,0.38,0,0,0,0,0,23.0,0.0,0
82,101092,42,3,69,grocery,online,Attica,13,6,33,28.64,4,0.0,48.62,1.7,0,0,0,0,1,36.17,54.41,1
83,100401,34,2,31,restaurant,mobile,Thessaly,0,4,41,82.02,6,3.0,27.06,0.33,0,0,0,1,0,26.07,0.0,0
84,102081,61,4,56,grocery,online,Thessaly,8,1,27,74.87,3,3.0,62.09,0.83,0,0,0,0,0,24.47,0.0,0
85,101574,39,2,25,grocery,mobile,Attica,23,4,43,18.77,5,13.0,29.35,1.56,0,0,0,1,0,30.21,0.0,0
86,101750,37,2,16,fashion,pos,Attica,11,2,7,47.94,3,0.0,62.67,1.31,0,1,0,0,0,25.43,0.0,0
87,100243,42,3,4,travel,pos,Attica,9,0,49,48.59,5,0.0,123.46,2.54,1,1,1,0,0,39.45,0.0,0
88,100780,25,3,29,fuel,mobile,Crete,21,3,30,52.18,4,0.0,28.67,0.55,0,0,0,0,0,23.67,0.0,0
89,101919,31,3,24,electronics,pos,Attica,10,0,9,40.76,3,1.0,153.91,3.78,0,1,1,0,0,33.04,0.0,0
90,102080,18,2,24,utility,pos,Central_Macedonia,18,3,42,42.94,2,16.0,13.84,0.32,0,1,0,0,0,22.72,0.0,0
91,101088,46,2,15,grocery,online,Crete,0,6,49,25.23,5,3.0,20.57,0.82,0,0,0,1,1,28.35,0.0,0
92,102011,53,1,35,grocery,online,Crete,13,0,19,35.73,3,2.0,25.7,0.72,0,0,0,0,0,24.18,0.0,0
93,102104,45,1,36,restaurant,pos,Attica,0,4,25,49.28,2,7.0,40.82,0.83,1,1,0,1,0,35.03,0.0,0
94,100968,44,4,48,restaurant,pos,Central_Macedonia,4,1,47,53.89,2,0.0,69.13,1.28,0,1,0,1,0,29.62,0.0,0
95,102245,41,3,34,gaming,pos,Central_Macedonia,13,4,29,35.61,2,2.0,49.8,1.4,0,1,1,0,0,29.88,0.0,0
96,100720,60,2,50,electronics,pos,Thessaly,14,4,19,77.85,3,0.0,116.92,1.5,0,1,1,0,0,30.09,0.0,0
97,100598,40,2,100,grocery,pos,Central_Macedonia,2,5,34,68.4,2,10.0,41.2,0.6,0,1,0,1,1,27.55,0.0,0
98,101706,52,1,47,restaurant,pos,Attica,11,4,9,21.45,2,11.0,26.93,1.26,1,1,0,0,0,30.81,0.0,0
99,101591,51,2,41,restaurant,online,Attica,9,1,18,34.04,3,4.0,52.68,1.55,1,0,0,0,0,31.46,0.0,0
100,100349,25,4,41,grocery,pos,Crete,10,2,44,59.65,4,8.0,19.35,0.32,0,1,0,0,0,22.73,0.0,0
101,102081,49,2,28,restaurant,pos,Crete,19,4,5,46.74,4,5.0,31.42,0.67,0,1,0,0,0,24.05,0.0,0
102,100499,28,2,24,grocery,online,Thessaly,22,2,30,54.42,2,1.0,69.25,1.27,0,0,0,0,0,25.37,0.0,0
103,102012,35,2,31,fashion,pos,Crete,1,5,36,35.85,5,5.0,59.74,1.67,0,1,0,1,1,30.4,0.0,0
104,100018,39,1,24,fashion,pos,Aegean,23,4,27,22.38,2,0.0,86.02,3.84,0,1,0,1,0,33.1,0.0,0
105,101992,57,2,27,electronics,pos,Aegean,1,4,21,46.33,5,9.0,240.91,5.2,0,1,1,1,0,40.74,0.0,0
106,101967,33,1,23,gaming,online,Attica,22,4,49,24.61,5,2.0,80.15,3.26,1,0,1,0,0,40.51,0.0,0
107,101950,45,2,32,gaming,pos,Attica,14,2,43,53.37,2,20.0,40.66,0.76,0,1,1,0,0,28.16,0.0,0
108,101662,23,4,31,grocery,pos,Aegean,17,4,43,75.23,5,7.0,21.24,0.28,0,1,0,0,0,22.49,0.0,0
109,101178,39,2,34,electronics,online,Thessaly,5,4,6,91.72,7,0.0,124.14,1.35,0,0,1,1,0,35.31,0.0,0
110,101762,36,3,41,restaurant,online,Aegean,14,5,52,89.55,4,3.0,30.68,0.34,1,0,0,0,1,27.17,0.0,0
111,100692,57,1,22,grocery,online,Central_Macedonia,14,2,27,46.7,3,2.0,42.71,0.91,0,0,0,0,0,24.67,0.0,0
112,101951,33,2,27,electronics,mobile,Aegean,7,4,36,34.89,4,1.0,86.26,2.47,0,0,1,0,0,31.64,0.0,0
113,101389,23,3,17,fuel,online,Attica,12,6,20,33.83,5,30.0,71.68,2.12,0,0,0,0,1,26.54,0.0,0
114,101147,36,2,49,gaming,pos,Central_Macedonia,22,2,31,66.68,2,1.0,23.37,0.35,0,1,1,0,0,26.21,0.0,0
115,101264,34,1,90,electronics,pos,Central_Macedonia,2,5,37,41.3,3,0.0,41.24,1.0,1,1,1,1,1,42.61,0.0,0
116,101421,44,1,41,utility,pos,Attica,10,2,29,24.06,5,2.0,14.82,0.62,0,1,0,0,0,23.88,0.0,0
117,100093,57,1,49,electronics,pos,Attica,8,0,30,36.78,6,3.0,30.05,0.82,0,1,1,0,0,28.35,0.0,0
118,100349,38,4,21,grocery,pos,Attica,4,0,19,54.75,3,0.0,122.36,2.24,0,1,0,1,0,31.31,0.0,0
119,100613,46,1,74,fashion,pos,Attica,11,3,52,29.89,3,5.0,36.92,1.24,0,1,0,0,0,25.31,0.0,0
120,100286,40,1,55,grocery,online,Aegean,2,2,10,36.52,4,2.0,61.12,1.67,1,0,0,1,0,37.74,0.0,0
121,101099,48,3,12,grocery,online,Aegean,2,1,20,37.03,4,1.0,39.11,1.06,0,0,0,1,0,29.06,0.0,0
122,101671,30,2,34,electronics,pos,Aegean,20,6,43,23.96,3,0.0,82.29,3.43,0,1,1,0,1,32.72,0.0,0
123,101636,41,2,38,utility,pos,Aegean,7,5,25,95.05,3,5.0,36.9,0.39,1,1,0,0,1,27.48,0.0,0
124,101177,53,2,38,electronics,pos,Thessaly,7,4,1,37.43,1,5.0,34.6,0.92,0,1,1,0,0,28.69,0.0,0
125,102137,32,4,20,grocery,pos,Aegean,15,5,6,77.1,2,1.0,91.32,1.18,0,1,0,0,1,25.22,0.0,0
126,101413,40,4,23,fuel,pos,Attica,18,4,47,29.19,3,6.0,71.61,2.45,0,1,0,0,0,26.9,0.0,0
127,100197,41,4,22,fuel,pos,Attica,20,4,52,32.07,4,3.0,16.64,0.52,0,1,0,0,0,23.56,0.0,0
128,101912,24,2,47,grocery,pos,Aegean,15,1,14,27.08,2,2.0,14.76,0.55,0,1,0,0,0,23.65,0.0,0
129,101436,50,1,37,restaurant,mobile,Central_Macedonia,6,0,11,22.38,2,12.0,54.48,2.43,0,0,0,0,0,26.88,0.0,0
130,101586,35,3,39,grocery,pos,Thessaly,6,4,13,31.11,2,25.0,43.44,1.4,0,1,0,0,0,25.58,0.0,0
131,101413,41,3,25,fuel,online,Central_Macedonia,16,0,48,32.05,6,2.0,36.65,1.14,0,0,0,0,0,25.14,0.0,0
132,101383,49,2,22,restaurant,pos,Attica,20,1,1,58.18,1,8.0,101.86,1.75,0,1,0,0,0,26.09,0.0,0
133,100226,50,2,12,utility,pos,Attica,22,3,6,29.2,4,9.0,49.88,1.71,0,1,0,0,0,26.04,0.0,0
134,101398,27,2,17,fuel,pos,Thessaly,20,2,19,15.34,7,10.0,12.3,0.8,0,1,0,0,0,24.4,0.0,0
135,101987,47,1,16,fuel,mobile,Central_Macedonia,15,2,51,35.88,3,1.0,46.07,1.28,0,0,0,0,0,25.39,0.0,0
136,100759,53,2,96,fuel,pos,Attica,4,4,5,32.69,4,0.0,29.8,0.91,0,1,0,1,0,28.65,0.0,0
137,101507,34,4,12,gaming,pos,Crete,9,5,18,115.45,3,12.0,80.77,0.7,0,1,1,0,1,27.94,0.0,0
138,100077,51,3,41,grocery,mobile,Attica,2,0,10,47.06,4,1.0,59.53,1.27,0,0,0,1,0,29.58,0.0,0
139,100868,47,1,50,grocery,pos,Central_Macedonia,10,1,18,59.77,3,10.0,11.27,0.19,0,1,0,0,0,21.86,0.0,0
140,101091,48,2,13,travel,pos,Crete,14,2,36,36.21,3,3.0,81.44,2.25,0,1,1,0,0,31.33,0.0,0
141,102456,52,1,49,grocery,online,Central_Macedonia,16,1,11,25.81,6,5.0,131.01,5.08,0,0,0,0,0,28.81,0.0,0
142,100536,31,2,35,grocery,pos,Aegean,5,0,22,52.9,4,3.0,14.91,0.28,0,1,0,1,0,25.71,0.0,0
143,100691,30,2,27,grocery,mobile,Central_Macedonia,16,1,9,23.16,6,21.0,6.99,0.3,0,0,0,0,0,22.6,0.0,0
144,101021,56,1,85,restaurant,pos,Aegean,7,1,1,56.1,3,0.0,36.78,0.66,0,1,0,0,0,24.0,0.0,0
145,102481,38,4,12,restaurant,online,Thessaly,16,6,26,48.78,3,2.0,83.36,1.71,0,0,0,0,1,26.04,0.0,0
146,102133,24,3,40,restaurant,pos,Aegean,22,2,17,24.06,3,3.0,36.55,1.52,1,1,0,0,0,31.41,0.0,0
147,100086,40,4,58,utility,online,Thessaly,6,2,39,73.21,4,6.0,55.54,0.76,0,0,0,0,0,24.29,0.0,0
148,100584,41,3,34,fuel,online,Crete,4,4,1,44.01,3,4.0,52.88,1.2,0,0,0,1,0,29.43,0.0,0
149,102054,45,3,77,gaming,online,Central_Macedonia,23,4,3,28.15,2,3.0,131.1,4.66,0,0,1,1,0,40.26,0.0,0
150,100145,37,3,25,utility,mobile,Central_Macedonia,11,1,48,58.15,4,0.0,45.84,0.79,0,0,0,0,0,24.37,0.0,0
151,102139,63,3,33,fashion,online,Attica,5,2,23,38.67,4,7.0,106.71,2.76,0,0,0,1,0,31.99,0.0,0
152,100703,31,1,76,utility,pos,Attica,7,0,45,46.51,1,1.0,28.68,0.62,0,1,0,0,0,23.88,0.0,0
153,102294,19,1,133,electronics,pos,Attica,11,1,6,31.77,2,0.0,50.14,1.58,0,1,1,0,0,30.24,0.0,0
154,100733,24,2,66,fuel,pos,Thessaly,8,2,19,49.59,1,4.0,27.12,0.55,0,1,0,0,0,23.66,0.0,0
155,101085,33,3,43,electronics,pos,Attica,21,2,37,42.49,4,2.0,64.88,1.53,0,1,1,0,0,30.14,0.0,0
156,101654,48,1,12,grocery,pos,Central_Macedonia,8,1,13,17.07,4,2.0,11.77,0.69,0,1,0,0,0,24.1,0.0,0
157,100315,39,2,26,travel,online,Attica,11,6,12,59.62,6,3.0,80.4,1.35,0,0,1,0,1,29.77,0.0,0
158,101392,46,4,93,grocery,online,Attica,6,5,6,41.43,2,0.0,18.81,0.45,0,0,0,0,1,31.52,24.31,1
159,101262,34,1,23,grocery,mobile,Central_Macedonia,16,3,19,13.68,3,5.0,15.58,1.14,0,0,0,0,0,25.13,0.0,0
160,101959,47,2,11,gaming,pos,Aegean,18,5,37,33.71,2,4.0,96.25,2.85,0,1,1,0,1,32.1,0.0,0
161,102490,23,4,67,utility,online,Attica,13,2,16,42.56,3,2.0,85.17,2.0,1,0,0,0,0,32.3,0.0,0
162,101660,44,2,46,restaurant,online,Aegean,19,4,7,60.64,3,0.0,25.22,0.42,1,0,0,0,0,27.66,0.0,0
163,101022,49,1,33,electronics,mobile,Attica,6,5,33,25.08,6,0.0,172.5,6.88,0,0,1,0,1,35.18,0.0,0
164,101015,31,3,43,restaurant,online,Central_Macedonia,12,4,35,45.92,2,0.0,61.26,1.33,0,0,0,0,0,25.48,0.0,0
165,101044,62,4,37,fashion,pos,Attica,17,2,22,74.03,4,2.0,174.69,2.36,0,1,0,0,0,26.81,0.0,0
166,102035,19,1,39,restaurant,pos,Attica,21,5,14,34.58,3,0.0,10.98,0.32,0,1,0,0,1,22.69,0.0,0
167,100803,50,1,57,restaurant,mobile,Attica,7,0,39,53.29,9,14.0,20.03,0.38,0,0,0,0,0,30.93,22.74,1
168,100417,52,2,18,travel,online,Attica,3,2,38,64.97,2,1.0,81.5,1.25,0,0,1,1,0,35.03,0.0,0
169,100835,31,2,35,electronics,online,Thessaly,18,5,32,26.55,5,4.0,161.59,6.09,0,0,1,0,1,34.73,0.0,0
170,100056,46,3,14,utility,online,Crete,12,4,21,57.01,3,9.0,99.96,1.75,0,0,0,0,0,26.1,0.0,0
171,100265,31,4,40,gaming,online,Attica,1,2,27,120.42,1,1.0,29.4,0.24,0,0,1,1,0,29.62,0.0,0
172,100225,45,3,60,electronics,online,Aegean,19,2,8,32.96,2,2.0,123.58,3.75,1,0,1,0,0,41.12,0.0,0
173,101928,39,2,43,electronics,mobile,Crete,11,2,1,24.1,2,10.0,142.42,5.91,0,0,1,0,0,34.63,0.0,0
174,101805,42,3,27,electronics,mobile,Attica,14,3,15,65.93,1,3.0,46.71,0.71,0,0,1,0,0,27.97,0.0,0
175,101741,35,3,35,electronics,pos,Attica,8,1,28,34.47,4,2.0,41.06,1.19,0,1,1,0,0,29.41,0.0,0
176,101154,35,2,18,gaming,pos,Attica,23,5,36,98.91,2,1.0,58.64,0.59,0,1,1,1,1,32.4,0.0,0
177,101792,32,3,43,utility,pos,Thessaly,10,0,13,41.45,4,0.0,27.31,0.66,0,1,0,0,0,24.01,0.0,0
178,100403,49,2,16,electronics,pos,Central_Macedonia,14,5,36,26.78,3,,186.99,6.98,0,1,1,0,1,35.24,0.0,0
179,102251,62,3,33,electronics,online,Attica,12,3,16,38.13,4,15.0,71.32,1.87,0,0,1,0,0,30.75,0.0,0
180,101252,69,3,29,electronics,online,Attica,23,2,32,92.22,2,3.0,207.7,2.25,0,0,1,1,0,37.27,0.0,0
181,102345,53,1,43,grocery,pos,Attica,14,5,6,19.01,2,0.0,27.65,1.45,0,1,0,0,1,25.67,0.0,0
182,100380,42,3,35,restaurant,pos,Attica,2,6,17,41.41,4,0.0,51.89,1.25,0,1,0,1,1,29.55,0.0,0
183,101243,54,1,34,fashion,pos,Central_Macedonia,20,2,11,30.09,3,0.0,59.98,1.99,0,1,0,0,0,26.4,0.0,0
184,101740,46,2,10,restaurant,online,Aegean,1,3,34,12.78,4,0.0,36.72,2.87,0,0,0,1,0,32.13,0.0,0
185,101239,38,2,37,grocery,online,Attica,12,3,37,32.56,1,0.0,15.17,0.47,0,0,0,0,0,23.36,0.0,0
186,101115,65,4,35,utility,pos,Attica,8,3,3,53.21,1,6.0,38.55,0.72,1,1,0,0,0,29.17,0.0,0
187,100415,54,2,31,utility,pos,Attica,11,2,21,27.37,2,0.0,30.49,1.11,0,1,0,0,0,25.08,0.0,0
188,100952,33,3,39,fuel,online,Attica,20,3,32,67.06,3,5.0,56.28,0.84,0,0,0,0,0,24.49,0.0,0
189,100596,53,2,20,restaurant,pos,Crete,2,0,39,57.81,4,8.0,28.92,0.5,0,1,0,1,0,27.07,0.0,0
190,100753,49,1,39,restaurant,online,Aegean,1,5,41,35.99,2,18.0,78.64,2.19,0,0,0,1,1,31.24,0.0,0
191,101709,31,2,39,fashion,mobile,Thessaly,21,0,41,23.99,1,5.0,64.3,2.68,0,0,0,0,0,27.12,0.0,0
192,101575,43,1,18,grocery,pos,Attica,6,6,8,22.49,1,5.0,25.41,1.13,0,1,0,0,1,25.11,0.0,0
193,101517,41,3,40,grocery,pos,Aegean,10,2,33,78.56,2,23.0,59.44,0.76,1,1,0,0,0,29.29,0.0,0
194,100904,18,2,58,travel,pos,Thessaly,23,4,43,114.92,4,7.0,72.48,0.63,0,1,1,1,0,32.6,0.0,0
195,102399,25,3,38,grocery,pos,Attica,17,0,29,73.5,3,5.0,40.14,0.55,0,1,0,0,0,23.65,0.0,0
196,100219,55,3,18,electronics,pos,Aegean,15,2,48,59.71,3,1.0,52.76,0.88,0,1,1,0,0,28.57,0.0,0
197,100856,33,2,48,utility,pos,Thessaly,0,6,43,26.05,3,2.0,81.81,3.14,0,1,0,1,1,32.42,0.0,0
198,100295,49,2,17,grocery,pos,Thessaly,9,3,50,42.23,3,6.0,35.49,0.84,0,1,0,0,0,24.5,0.0,0
199,100847,57,2,22,travel,online,Central_Macedonia,12,3,50,22.45,4,7.0,221.58,9.87,1,0,1,0,0,45.52,0.0,0
200,102404,18,3,18,gaming,pos,Attica,1,2,2,62.33,3,1.0,81.17,1.3,0,1,1,1,0,35.17,0.0,0
201,100915,61,3,33,travel,online,Thessaly,15,4,21,40.89,2,5.0,155.41,3.8,0,0,1,0,0,33.07,0.0,0
202,102271,40,2,77,travel,pos,Central_Macedonia,18,4,47,23.72,4,8.0,42.87,1.81,0,1,1,0,0,30.65,0.0,0
203,101237,47,1,28,restaurant,pos,Aegean,8,3,5,27.53,2,1.0,32.29,1.17,0,1,0,0,0,25.2,0.0,0
204,101749,65,3,25,grocery,pos,Attica,22,6,4,57.76,3,1.0,48.62,0.84,0,1,0,0,1,24.5,0.0,0
